Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
PB,CACHOEIRA DOS ÍNDIOS,PREF MUN DE CACHOEIRA DOS INDIOS,2503308,08923997000163,159.89,Sim,"14869,77",0,"14869,77","128231,78",0,"128231,78","30379,1",0,"30379,1",2025-09-01
PB,CACIMBA DE AREIA,PREF MUN DE CACIMBA DE AREIA,2503407,08874984000141,159.89,Sim,"3997,25",0,"3997,25","27820,86",0,"27820,86","5596,15",0,"5596,15",2025-09-01
PB,CACIMBA DE DENTRO,PREF MUN DE CACIMBA DE DENTRO,2503506,08929648000159,159.89,Sim,"12151,64",0,"12151,64","91297,19",0,"91297,19","35815,36",0,"35815,36",2025-09-01
PB,CACIMBAS,PREF MUN DE CACIMBAS,2503555,01612686000134,165.82,Sim,"11773,22",0,"11773,22","82080,9",0,"82080,9","6301,16",0,"6301,16",2025-09-01
PB,CAIçARA,PREF MUN DE CAICARA,2503605,09070624000150,160.85,Sim,"5468,9",0,"5468,9","33456,8",0,"33456,8","6594,85",0,"6594,85",2025-09-01
PB,CAJAZEIRAS,PREF MUN DE CAJAZEIRAS,2503704,08923971000115,165.82,Sim,"33661,46",0,"33661,46","230987,26",0,"230987,26","60358,48",0,"60358,48",2025-09-01
PB,CAJAZEIRINHAS,PREF MUN DE CAJAZEIRINHAS,2503753,01612687000189,165.82,Sim,"3979,68",0,"3979,68","39962,62",0,"39962,62","11939,04",0,"11939,04",2025-09-01
PB,CALDAS BRANDãO,PREF MUN DE CALDAS BRANDAO,2503803,08809071000141,153.96,Sim,"1847,52",0,"1847,52","16627,68","7054,51","9573,17","8467,8",0,"8467,8",2025-09-01
PB,CAMALAú,PREF MUN DE CAMALAU,2503902,09073271000141,165.82,Sim,"6632,8",0,"6632,8","54720,6",0,"54720,6","16084,54",0,"16084,54",2025-09-01
PB,CAMPINA GRANDE,PREF MUN DE CAMPINA GRANDE,2504009,08993917000146,158.7,Sim,"41420,7",0,"41420,7",266616,0,266616,"85539,3",0,"85539,3",2025-09-01
PB,CAPIM,PREF MUN DE CAPIM,2504033,01612304000172,156.49,Sim,"6259,6",0,"6259,6","35366,74","4853,2","30513,54","9076,42",0,"9076,42",2025-09-01
